1;1;Poznan;New York;6300;8.5;2500;250;20;2025-11-17T14:25:33.123456
2;2;Poznan;London;450;1;300;30;1;2025-11-17T14:25:33.123456
3;1;Poznan;Paris;1190;2.3;450;35;15;2025-12-02T11:20:00
4;2;Poznan;Berlin;240;0.7;120;10;8;2025-12-05T09:10:00
5;1;Poznan;Madrid;2260;3.4;520;40;12;2025-12-08T13:45:00
6;2;Poznan;Rome;1420;2.5;480;30;5;2025-12-10T17:30:00
7;1;London;Poznan;1190;2.1;430;35;10;2025-12-12T15:15:00
8;2;New York;Poznan;6900;8.4;2800;200;18;2025-12-15T08:55:00
9;1;Poznan;Oslo;1040;1.9;350;25;9;2025-12-18T12:00:00
10;2;Poznan;Amsterdam;860;1.6;300;20;7;2025-12-20T18:40:00
11;1;Vienna;Poznan;550;1.2;260;18;4;2025-12-22T07:50:00
12;2;Poznan;Zurich;1000;1.8;420;28;6;2025-12-25T14:30:00
